Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
2-21590001,2018-05-30 09:15:00,7.8,1.212,0.449,929000,0,0,0,2018
15-21270001,2018-08-29 11:48:00,8.36,1.021,0.104,440000,0,0,0,2018
9-21890001,2018-07-18 10:30:00,8,0.933408679927667,0.125,7920000,0,0,0,2018
14-21520001,2018-08-21 15:00:00,8.75,1.048,0.157,8580000,0,0,0,2018
5-21830001,2018-06-19 12:45:00,8.5,0.977,0.586,88000,0,0,0,2018
2-21040001,2018-05-30 10:30:00,8.3,1.278,0.361,894000,397,0,0,2018
15-21040001,2018-08-29 09:42:00,8.4,1.016,0.049,10700000,31900,0,0,2018
12-21350001,2018-08-08 10:15:00,8.2,0.75,-0.172,8190000,5170,0,0,2018
1-21270001,2018-05-23 11:45:00,8.3,1.245,0.395,522000,0,0,0,2018
5-21780001,2018-06-19 08:30:00,7.7,1.01,0.531,5830000,17300,0,0,2018
15-21150001,2018-08-27 07:00:00,7.7,1.008,0.198,17400000,16800,0,18000,2018
13-21920001,2018-08-15 07:45:00,9.2,1.15,0.174,37800000,32800,0,0,2018
1-21940001,2018-05-22 07:50:00,8.1,1.33,0.491,369000,0,0,0,2018
15-21810001,2018-08-27 10:15:00,8.2,1.155,-0.146,22700000,10600,0,0,2018
11-21070001,2018-07-31 09:30:00,8.7,0.561,0.236,4080000,6710,0,19200,2018
9-21910001,2018-07-18 07:15:00,8.7,0.877188065099457,0.172,5390000,4900,0,0,2018
3-21260001,2018-06-06 11:08:00,8.18,1.747,0.112,4280000,358,0,0,2018
1-21810002,2018-05-22 12:55:00,8,1.266,0.565,1040000,2000,0,0,2018
13-21260001,2018-08-15 12:05:00,8.6,1.12,0.273,3410000,7100,0,0,2018
12-21260001,2018-08-08 11:10:00,8.7,0.757,-0.185,41400000,291000,0,20700,2018
5-21280001,2018-06-19 09:00:00,8.8,1.056,0.517,423,0,0,0,2018
15-21300004,2018-08-27 16:15:00,8.2,1.008,0.115,13200000,27600,0,0,2018
2-21690001,2018-05-29 11:00:00,8.5,1.228,0.479,595000,424,0,0,2018
4-21150001,2018-06-12 13:10:00,8.4,1.144,0.492,1440000,3110,0,0,2018
3-21070001,2018-06-05 08:36:00,8.23,1.34,0.411,2190000,8600,0,0,2018
7-21860001,2018-07-02 07:10:00,8.5,1.164,0.512,1790000,10300,0,0,2018
15-21300003,2018-08-27 14:45:00,8.2,0.963,-0.003,10400000,21200,0,0,2018
13-21420001,2018-08-15 09:00:00,8.5,1.071,0.269,8790000,19300,0,0,2018
11-21270001,2018-08-01 11:24:00,8.85,0.192,0.141,6140000,549,0,0,2018
14-21280001,2018-08-21 13:00:00,8.9,1.064,0.169,40400000,0,0,0,2018
4-21780001,2018-06-12 08:00:00,8.7,1.191,0.509,5930000,19600,0,0,2018
15-21350001,2018-08-29 11:00:00,7.6,1.294,0.02,0,0,0,0,2018
14-21810001,2018-08-20 10:00:00,8.4,1.166,0.171,1.19e+08,64800,0,0,2018
13-21040001,2018-08-15 09:23:00,8.72,1.12,0.277,8550000,10700,0,0,2018
13-21770001,2018-08-14 07:00:00,9.1,1.134,0.292,21100000,8460,0,0,2018
1-21590001,2018-05-23 08:25:00,7.9,1.173,0.444,1640000,0,0,0,2018
14-21040001,2018-08-22 09:34:00,8.11,1.201,0.118,8900000,25200,0,0,2018
13-21390001,2018-08-14 13:33:00,9.09,1.092,0.292,4750000,6750,0,0,2018
12-21040001,2018-08-08 09:45:00,8.88,0.704,0.062,23700000,29200,0,0,2018
8-21280001,2018-07-10 11:15:00,8.2,1.219,0.505,10800000,1240,0,0,2018
2-21130001,2018-05-29 10:05:00,8,1.263,0.85,1110000,2030,0,0,2018
5-21500001,2018-06-20 07:00:00,8.3,1.15,0.485,6270000,5800,0,0,2018
5-21260001,2018-06-20 11:50:00,9,1.011,0.548,6490000,1420,0,0,2018
2-21870001,2018-05-29 09:30:00,8.4,1.268,0.711,2790000,22300,0,0,2018
15-21280001,2018-08-28 12:30:00,8.8,1.019,1.142,7650000,0,0,0,2018
2-21830001,2018-05-29 11:50:00,8.4,1.276,0.462,1120000,1820,0,0,2018
1-21870001,2018-05-22 11:50:00,8.4,1.351,0.59,529000,1150,0,0,2018
10-21040001,2018-07-25 10:15:00,8,-0.013,0.179,11900000,30600,0,0,2018
11-21300004,2018-08-01 12:20:00,8.5,0.113,0.234,8800000,15300,0,0,2018
7-21810002,2018-07-02 10:15:00,8.8,1.082,0.622,3590000,20100,0,0,2018
11-21300002,2018-08-01 09:30:00,8.6,0.082,0.201,12600000,66600,0,0,2018
6-21300004,2018-06-27 10:07:00,7.94,1.203,0.274,6170000,4030,0,0,2018
13-21280001,2018-08-14 10:30:00,8,1.147,0.298,44600000,0,0,0,2018
4-21770001,2018-06-12 15:30:00,8.3,1.148,0.48,2650000,737,0,0,2018
2-21620001,2018-05-30 13:10:00,9.11,1.393,0.423,2660000,2800,0,0,2018
1-21350001,2018-05-23 10:50:00,8.5,1.243,0.495,3340000,0,0,0,2018
1-21520001,2018-05-22 15:22:00,8.8,1.526,0.572,219000,0,0,0,2018
15-21300001,2018-08-27 15:15:00,8.3,1.067,0.042,10600000,51200,0,0,2018
12-21280001,2018-08-07 11:10:00,7.7,0.922,-0.24,26600000,0,0,0,2018
5-21040001,2018-06-20 10:15:00,8.2,0.985,0.582,7220000,5860,0,0,2018
3-21590001,2018-06-06 08:50:00,8.13,1.852,0.345,5790000,668,0,0,2018
13-21810001,2018-08-14 11:50:00,8.6,1.148,0.307,12800000,27400,0,0,2018
14-21350001,2018-08-22 10:45:00,7.8,1.224,0.197,33100000,38200,0,0,2018
6-21830001,2018-06-26 13:05:00,8.4,1.074,0.397,2120000,5490,0,0,2018
11-21390001,2018-07-31 14:11:00,8.81,0.311,0.236,4610000,10300,0,0,2018
3-21890001,2018-06-06 09:25:00,8.04,1.796,0.189,4520000,2910,0,0,2018
2-21300002,2018-05-30 08:10:00,8,1.31,0.449,1180000,0,0,0,2018
3-21690001,2018-06-05 11:00:00,8,1.24,0.4,1640000,2490,0,0,2018
3-21780001,2018-06-05 08:00:00,7.3,1.275,0.35,2660000,4390,0,0,2018
5-21670001,2018-06-19 10:30:00,8,0.949,0.458,3490000,456,0,0,2018
14-21260001,2018-08-20 08:15:00,8.4,0.985,0.164,4080000,8340,0,0,2018
10-21890001,2018-07-25 09:00:00,9.03,-0.014,-0.002,6040000,0,0,0,2018
9-21780001,2018-07-17 07:45:00,7.9,1.37194394213382,0.183,7970000,8470,0,0,2018
5-21810002,2018-06-19 10:46:00,8.13,0.973,0.383,3170000,27000,0,0,2018
8-21390001,2018-07-10 13:45:00,8.1,1.093,0.48,3280000,1050,0,0,2018
4-21620001,2018-06-13 12:48:00,8.63,1.354,0.423,3100000,3480,0,0,2018
11-21870001,2018-07-31 11:15:00,8.7,0.116,0.252,5450000,13400,0,0,2018
2-21810002,2018-05-29 12:00:00,8.5,1.275,0.467,798000,13400,0,0,2018
2-21890001,2018-05-30 09:14:00,8.34,1.292,0.432,855000,0,0,0,2018
3-21150001,2018-06-05 13:15:00,8.1,1.355,0.415,1610000,2630,0,0,2018
1-21150001,2018-05-22 15:30:00,NA,1.31,0.519,654000,645,0,0,2018
14-21150001,2018-08-20 08:45:00,8.03,1.064,0.16,13200000,14300,0,39400,2018
13-21300004,2018-08-15 11:15:00,8.1,1.021,0.312,24100000,37500,0,0,2018
7-21070001,2018-07-02 09:10:00,8.4,1.175,0.419,2090000,9060,0,14300,2018
14-21300001,2018-08-20 15:15:00,8.3,1.062,0.147,12800000,52000,0,0,2018
1-21860001,2018-05-22 07:22:00,8.6,1.271,0.48,1150000,4380,0,0,2018
13-21300003,2018-08-15 09:30:00,8.3,1.117,0.283,18600000,19200,0,0,2018
4-21300001,2018-06-13 10:45:00,8.2,1.387,0.34,5290000,2190,0,0,2018
7-21670001,2018-07-02 10:29:00,8.48,1.097,0.421,4070000,780,0,0,2018
13-21910001,2018-08-15 06:57:00,8.62,1.055,0.169,6470000,0,0,0,2018
2-21270001,2018-05-30 12:45:00,8.4,1.376,0.441,645000,0,0,0,2018
1-21780001,2018-05-22 08:05:00,8.2,1.267,0.615,878000,994,0,0,2018
11-21670001,2018-07-31 09:39:00,8.7,0.271,0.255,3620000,233,0,0,2018
8-21890001,2018-07-11 09:20:00,8.3,1.24,0.461,7410000,0,0,0,2018
5-21300002,2018-06-20 07:57:00,7.98,0.992,0.467,5590000,843,0,0,2018
1-21070001,2018-05-22 09:29:00,8.3,1.353,0.587,606000,8360,0,0,2018
7-21350001,2018-07-03 10:30:00,7.8,1.111,0.503,8410000,462,0,0,2018
5-21910001,2018-06-20 07:30:00,8.5,1.071,0.376,1610000,749,0,0,2018
4-21910001,2018-06-13 07:00:00,9,1.518,0.477,0,0,0,0,2018
10-21280001,2018-07-24 12:00:00,8.9,0.041,0.233,5040000,0,0,0,2018
3-21810002,2018-06-05 10:00:00,8.6,1.362,0.344,1790000,5660,0,0,2018
9-21420001,2018-07-18 08:47:00,9.2,0.899412296564195,0.193,10200000,10700,0,0,2018
6-21300001,2018-06-27 09:22:00,8.24,1.101,0.288,5940000,12800,0,0,2018
1-21890001,2018-05-23 08:52:00,8.8,1.229,0.476,369000,0,0,0,2018
11-21420001,2018-08-01 08:30:00,8.3,0.135,0.291,5970000,9470,0,0,2018
13-21890001,2018-08-15 10:00:00,8.4,1.039,0.208,11900000,11100,0,0,2018
7-21620001,2018-07-03 13:20:00,9.1,1.103,0.478,1190000,3730,0,0,2018
5-21270001,2018-06-20 12:15:00,8.3,1.007,0.364,3150000,2320,0,0,2018
2-21300003,2018-05-30 09:10:00,8.1,1.238,0.454,496000,638,0,0,2018
8-21620001,2018-07-11 15:40:00,9.1,1.248,0.544,4030000,6060,0,0,2018
8-21920001,2018-07-11 07:25:00,9.3,1.17,0.4415,1810000,5030,0,0,2018
7-21590001,2018-07-03 07:19:00,7.82,1.087,0.396,1030000,0,0,0,2018
7-21910001,2018-07-03 07:00:00,8.72,1.062,0.514,1510000,805,0,0,2018
9-21300002,2018-07-18 08:40:00,8.5,0.866826401446655,0.129,7590000,35600,0,0,2018
4-21260001,2018-06-13 10:51:00,7.76,1.419,0.372,4900000,1680,0,0,2018
4-21940001,2018-06-12 07:15:00,7.9,1.089,0.484,959,0,0,0,2018
2-21300001,2018-05-30 10:25:00,8.1,1.276,0.341,565000,0,0,0,2018
11-21040001,2018-08-01 09:20:00,8.85,0.125,0.188,8340000,11900,0,0,2018
5-21390001,2018-06-19 14:30:00,8.1,0.945,0.475,0,0,0,0,2018
8-21870001,2018-07-10 11:00:00,8.6,1.121,0.395,1050000,1180,0,0,2018
1-21670001,2018-05-22 10:20:00,8.3,1.339,0.506,2e+06,347,0,0,2018
3-21040001,2018-06-06 10:30:00,8.13,1.746,0.198,1110000,2780,0,0,2018
3-21910001,2018-06-06 07:00:00,8.3,1.794,0.277,2020000,771,0,0,2018
9-21620001,2018-07-18 14:00:00,8.47,0.872594936708861,0.146,6780000,11800,0,0,2018
1-21300003,2018-05-23 10:15:00,8,1.214,0.499,3910000,456,0,0,2018
8-21300004,2018-07-11 11:30:00,8.4,1.302,0.4,8160000,6290,0,0,2018
2-21910001,2018-05-30 07:45:00,8.7,1.387,0.411,813000,512,0,0,2018
7-21920001,2018-07-03 07:30:00,9.2,1.178,0.5005,1650000,4690,0,0,2018
9-21520001,2018-07-17 14:00:00,7.05,1.47760397830018,0.127,1360000,0,0,0,2018
2-21260001,2018-05-30 10:52:00,8.34,1.304,0.46,544000,319,0,0,2018
4-21300004,2018-06-13 11:30:00,8.3,1.463,0.313,4140000,1310,0,0,2018
7-21810001,2018-07-02 10:45:00,8.6,1.025,0.577,2240000,12800,0,0,2018
1-21830001,2018-05-22 13:05:00,8.4,1.432,0.561,1090000,4450,0,0,2018
11-21280001,2018-07-31 11:25:00,8.5,0.491,0.264,10900000,432,0,0,2018
2-21390001,2018-05-29 13:25:00,NA,1.248,0.469,1460000,511,0,0,2018
11-21770001,2018-07-31 07:00:00,8,0.096,0.149,4240000,1450,0,0,2018
1-21500001,2018-05-23 07:30:00,8.2,1.224,0.943,1620000,0,0,0,2018
10-21940001,2018-07-24 07:20:00,8.4,-0.053,0.227,3740000,0,0,0,2018
2-21780001,2018-05-29 08:00:00,8.2,1.256,0.41,1530000,2210,0,0,2018
8-21590001,2018-07-11 07:15:00,7.83,1.176,0.607,466000,0,0,0,2018
5-21300004,2018-06-20 10:17:00,7.95,0.943,0.522,7040000,11500,0,0,2018
2-21300004,2018-05-30 11:20:00,8.2,1.261,0.337,368000,0,0,0,2018
1-21260001,2018-05-23 11:02:00,8.4,1.175,0.46,853000,427,0,0,2018
3-21390001,2018-06-05 14:50:00,8.1,1.302,0.366,1320000,579,0,0,2018
7-21040001,2018-07-03 08:35:00,8.38,1.075,0.509,6370000,14000,0,0,2018
2-21860001,2018-05-29 06:54:00,8.44,1.253,0.44,1230000,6780,0,0,2018
1-21910001,2018-05-23 07:25:00,8.3,1.347,0.455,519000,0,0,0,2018
8-21910001,2018-07-11 07:00:00,8.01,1.264,0.437,5580000,0,0,0,2018
3-21300002,2018-06-06 08:45:00,8.3,1.693,0.189,4640000,9730,0,0,2018
4-21040001,2018-06-13 12:14:00,8.9,1.802,0.369,2100,0,0,0,2018
7-21280001,2018-07-02 11:15:00,7.9,1.119,0.437,6090000,0,0,0,2018
11-21260001,2018-08-01 11:05:00,8.7,0.137,0.205,2270000,2180,0,0,2018
7-21940001,2018-07-02 07:15:00,8.2,1.195,0.387,1150000,0,0,0,2018
3-21940001,2018-06-05 07:00:00,8,1.332,0.331,909000,2490,0,0,2018
2-21350001,2018-05-30 11:05:00,8.7,1.308,0.458,8040000,882,0,0,2018
3-21770001,2018-06-05 15:40:00,8,1.372,0.396,4340000,576,0,0,2018
5-21070001,2018-06-19 09:00:00,9,1.278,0.45,1620000,5470,0,0,2018
5-21770001,2018-06-19 15:50:00,8.2,1.031,0.435,5360000,0,0,0,2018
2-21770001,2018-05-29 15:00:00,8.3,1.249,0.462,2480000,0,0,0,2018
3-21830001,2018-06-05 12:40:00,8.4,1.319,0.403,1710000,5340,0,0,2018
6-21940001,2018-06-26 07:20:00,7.27,1.336,0.392,4220000,1570,0,0,2018
3-21300001,2018-06-06 10:30:00,8.3,1.785,0.181,4670000,5470,0,0,2018
2-21500001,2018-05-30 07:05:00,8.7,1.328,0.482,4e+06,682,0,0,2018
3-21270001,2018-06-06 12:50:00,8.9,1.714,0.172,6520000,0,0,0,2018
2-21940001,2018-05-29 07:25:00,8,1.276,0.475,1170000,0,0,0,2018
4-21300002,2018-06-13 09:00:00,8.3,1.445,0.497,319,0,0,0,2018
3-21300005,2018-06-06 07:45:00,8.2,1.807,0.23,4140000,10400,0,0,2018
10-21770001,2018-07-24 07:00:00,7.94,0.098,0.203,9260000,0,0,0,2018
8-21300001,2018-07-11 11:00:00,7.8,1.317,0.502,7e+06,19600,0,0,2018
4-21280001,2018-06-12 10:09:00,7.28,1.217,0.569,4440000,0,0,0,2018
7-21500001,2018-07-03 07:10:00,8.2,1.122,0.437,3420000,3850,0,0,2018
11-21520001,2018-07-31 14:00:00,8.8,0.215,0.265,11200000,2420,0,0,2018
4-21890001,2018-06-13 08:59:00,7.71,1.64,0.294,0,0,0,0,2018
1-21300001,2018-05-23 11:30:00,8.2,1.202,0.535,576000,0,0,0,2018
9-21280001,2018-07-17 10:30:00,7.09,1.69452079566004,0.167,1.2e+07,0,0,0,2018
11-21350001,2018-08-01 09:45:00,8.1,0.145,0.255,18800000,7820,0,0,2018
7-21300004,2018-07-03 11:30:00,8.3,1.147,0.465,8500000,5570,0,0,2018
4-21300005,2018-06-13 08:00:00,8.3,1.618,0.334,130000,551,0,0,2018
2-21280001,2018-05-29 10:22:00,7.85,1.382,0.458,1760000,0,0,0,2018
2-21300005,2018-05-30 07:00:00,8,1.523,0.663,617000,5440,0,0,2018
3-21300003,2018-06-06 09:45:00,8.3,1.839,0.154,3970000,1120,0,0,2018
4-21590001,2018-06-13 10:30:00,8.9,1.422,0.486,1180000,286,0,0,2018
11-21890001,2018-08-01 09:10:00,8.4,0.16,0.203,17400000,22300,0,0,2018
11-21810002,2018-07-31 10:30:00,8.79,0.165,0.226,8410000,27800,0,0,2018
2-21420001,2018-05-30 09:15:00,8.7,1.424,0.447,3090000,1620,0,0,2018
1-21300004,2018-05-23 12:30:00,8.2,1.213,0.596,1100000,665,0,0,2018
8-21770001,2018-07-10 07:00:00,8.6,1.21,0.474,5550000,952,0,0,2018
6-21280001,2018-06-26 11:00:00,7.7,1.246,0.348,4960000,31700,0,51300,2018
7-21260001,2018-07-03 11:10:00,8.2,1.106,0.377,1470000,426,0,0,2018
3-21280001,2018-06-05 10:26:00,8.01,1.327,0.423,2190000,0,0,0,2018
4-21860001,2018-06-12 07:01:00,7.92,1.183,0.56,2160000,9190,0,0,2018
5-21300001,2018-06-20 09:36:00,7.78,1.048,0.494,4280000,0,0,0,2018
5-21350001,2018-06-20 10:50:00,7.7,1.113,0.416,9270000,1960,0,0,2018
11-21910001,2018-08-01 07:05:00,9.06,0.11,0.169,9520000,5540,0,0,2018
4-21830001,2018-06-12 13:15:00,8.9,1.165,0.468,2560000,2770,0,0,2018
4-21670001,2018-06-12 10:15:00,8.7,1.171,0.596,3220000,883,0,0,2018
4-21270001,2018-06-13 14:15:00,9.13,1.387,0.327,4350000,1860,0,0,2018
8-21670001,2018-07-10 09:53:00,8.14,1.128,0.506,3740000,891,0,0,2018
9-21070001,2018-07-17 09:30:00,9.7,1.8451356238698,0.216,2890000,13900,0,14300,2018
3-21350001,2018-06-06 11:15:00,7.7,1.867,0.143,5280000,0,0,0,2018
10-21350001,2018-07-25 10:18:00,7.78,0.155,0.091,16600000,4760,0,0,2018
7-21890001,2018-07-03 09:20:00,8.1,1.129,0.574,2990000,2050,0,0,2018
8-21300003,2018-07-11 10:15:00,8.4,1.253,0.44,5600000,20300,0,0,2018
8-21040001,2018-07-11 08:54:00,8.14,1.321,0.441,7090000,7330,0,0,2018
8-21860001,2018-07-10 07:15:00,9,1.139,0.614,2560000,2200,0,0,2018
3-21620001,2018-06-06 13:14:00,8.67,1.845,0.201,14100000,23900,0,0,2018
7-21390001,2018-07-02 14:22:00,8.5,1.149,0.54,2230000,495,0,0,2018
5-21940001,2018-06-19 07:01:00,7.66,1,0.502,6880000,7890,0,0,2018
4-21420001,2018-06-13 09:20:00,8.7,1.468,0.332,5100000,3300,0,0,2018
3-21420001,2018-06-06 09:00:00,8.1,1.825,0.138,4280000,1300,0,0,2018
4-21300003,2018-06-13 10:00:00,8.3,1.497,0.413,0,0,0,0,2018
1-21390001,2018-05-22 14:45:00,8.3,1.592,0.471,306000,0,0,0,2018
9-21300004,2018-07-18 11:20:00,8.3,1.02597649186257,0.184,14500000,37500,0,0,2018
8-21780001,2018-07-10 07:58:00,7.81,1.273,0.432,8010000,16800,0,0,2018
7-21300001,2018-07-03 11:00:00,8.4,1.104,0.325,6430000,11800,0,0,2018
14-21390001,2018-08-21 15:14:00,8.26,1.076,0.196,6710000,25300,0,0,2018
6-21770001,2018-06-26 02:50:00,8.4,1.156,0.347,4370000,495,0,0,2018
11-21940001,2018-07-31 07:15:00,9.4,0.162,0.286,5600000,5350,0,0,2018
9-21350001,2018-07-18 10:15:00,8.28,0.89623869801085,0.122,20700000,18200,0,0,2018
9-21770001,2018-07-17 07:00:00,8.05,1.22150994575045,0.161,7340000,0,0,0,2018
9-21940001,2018-07-17 07:30:00,8.9,1.16575949367089,0.213,8370000,5800,0,0,2018
8-21260001,2018-07-11 11:10:00,8.5,1.219,0.556,4550000,1230,0,0,2018
8-21350001,2018-07-11 11:00:00,8.93,5.832,0.411,11200000,0,0,0,2018
8-21420001,2018-07-11 09:30:00,8.29,1.233,0.647,3720000,8510,0,0,2018
8-21520001,2018-07-10 13:50:00,8.9,1.23,0.461,4600000,481,0,0,2018
8-21940001,2018-07-10 07:00:00,8.6,1.194,0.563,3260000,533,0,0,2018
7-21300002,2018-07-03 08:30:00,8.2,1.162,0.52,3850000,12100,0,0,2018
7-21300003,2018-07-03 10:15:00,8.1,1.264,0.593,5890000,8550,0,0,2018
7-21420001,2018-07-03 09:00:00,8.5,1.161,0.482,512000,1040,0,0,2018
7-21520001,2018-07-02 13:50:00,8.8,1.093,0.537,3630000,1470,0,0,2018
7-21770001,2018-07-02 15:00:00,8.4,1.236,0.423,0,0,0,0,2018
7-21780001,2018-07-02 07:50:00,8.18,1.123,0.5,7320000,26400,0,0,2018
7-21830001,2018-07-02 12:32:00,8.72,1.193,0.59,2940000,16100,0,0,2018
6-21350001,2018-06-27 10:30:00,8.7,1.181,0.335,8080000,9360,0,0,2018
4-21390001,2018-06-12 15:20:00,8.8,1.094,0.621,10800000,4890,0,0,2018
4-21500001,2018-06-13 07:00:00,8.1,1.587,0.45,5390000,2860,0,0,2018
3-21500001,2018-06-06 07:00:00,7.9,1.814,0.274,8470000,3020,0,0,2018
4-21070001,NA,NA,NA,NA,NA,NA,NA,NA,2018
6-21280001,2019-06-25 00:00:00,7.7,0.473,0.18,19465141.5427225,0,0,0,2019
7-21280001,2019-07-01 00:00:00,7.81,0.023,0.282,4278450.81688752,0,0,0,2019
8-21280001,2019-07-09 00:00:00,8.13,0.056,0.346,610231.468954832,0,0,0,2019
9-21280001,2019-07-16 00:00:00,8.19,-0.005,0.365,5582700.9734124,0,0,0,2019
10-21280001,2019-07-23 00:00:00,8.06,0.287,0.858,10103847.9975808,0,0,0,2019
11-21280001,2019-07-30 00:00:00,8.03,0.199,1.178,2804880.53067952,0,0,0,2019
12-21280001,2019-08-06 00:00:00,8.19,0.043,0.781,11888871.8251211,0,0,0,2019
14-21280001,2019-08-20 00:00:00,7.57,0.033,0.534,383472.021608955,0,0,0,2019
15-21280001,2019-08-27 00:00:00,7.57,-0.04,2.089,4152121.40274305,0,0,0,2019
13-21280001,2019-08-13 00:00:00,7.71,0.058,1.593,1256322.45619491,0,0,0,2019
6-21350001,2019-06-25 00:00:00,8.2,0.155,0.2,2425661.67527123,0,0,0,2019
7-21350001,2019-07-01 00:00:00,8.2,-0.003,0.318,5709451.02951307,0,0,0,2019
8-21350001,2019-07-09 00:00:00,7.96,0.013,0.613,322347.743400761,0,0,0,2019
9-21350001,2019-07-16 00:00:00,8.1,0.383,0.759,5932539.75092869,0,0,0,2019
10-21350001,2019-07-23 00:00:00,8.07,0.453,2.212,18012339.6769995,0,0,0,2019
11-21350001,2019-07-30 00:00:00,8.17,0.187,1.268,2422437.82799603,233737.181141221,0,0,2019
12-21350001,2019-08-06 00:00:00,8.28,0.184,1.592,1309742.3811016,118963.904511643,0,0,2019
14-21350001,2019-08-20 00:00:00,8.31,0.76,3.152,1151816.39182251,0,0,0,2019
15-21350001,2019-08-27 00:00:00,8.31,0.085,4.134,5649934.43665028,107730.437496117,0,0,2019
13-21350001,2019-08-13 00:00:00,8.3,1.468,7.462,4182333.27241192,2642105.13803335,0,0,2019
6-21770001,2019-06-26 00:00:00,8.25,0.115,0.242,6269031.13938633,0,0,0,2019
7-21770001,2019-07-02 00:00:00,8.29,-0.039,0.204,802830.523353743,0,0,0,2019
8-21770001,2019-07-10 00:00:00,8.3,-0.046,0.051,4412656.31435699,0,0,0,2019
9-21770001,2019-07-17 00:00:00,8.11,-0.018,0.5,3089205.99500248,0,0,0,2019
10-21770001,2019-07-24 00:00:00,8.32,0.146,0.902,9913856.46723759,0,0,0,2019
11-21770001,2019-07-31 00:00:00,8.16,0.179,1.154,3287654.25056518,0,0,0,2019
12-21770001,2019-08-07 00:00:00,8.22,0.072,0.947,2420430.11242204,0,0,0,2019
14-21770001,2019-08-21 00:00:00,8.09,0.036,1.162,496034.240936077,0,0,0,2019
15-21770001,2019-08-28 00:00:00,8.09,-0.504,0.947,1396781.0698339,0,0,0,2019
13-21770001,2019-08-14 00:00:00,7.86,0.06,1.864,687844.853544096,0,0,0,2019
6-21810002,2019-06-25 00:00:00,8.5,0.254,0.259,6150054.15428108,924618.115740619,0,0,2019
7-21810002,2019-07-01 00:00:00,8.53,-0.013,0.472,4221319.53942366,349707.278064107,0,0,2019
8-21810002,2019-07-09 00:00:00,8.12,0.061,0.846,304848.98229159,330251.343322584,0,0,2019
9-21810002,2019-07-16 00:00:00,8.49,0.102,1.18,6959317.8835924,469133.009512621,0,0,2019
10-21810002,2019-07-23 00:00:00,8.58,0.358,1.864,16109507.1158147,247193.777020385,0,0,2019
11-21810002,2019-07-30 00:00:00,8.4,0.254,2.795,4370615.26338657,58971.6450260658,0,0,2019
12-21810002,2019-08-06 00:00:00,8.42,0.577,2.247,13022475.2158102,52452.2363815242,0,0,2019
14-21810002,2019-08-20 00:00:00,8.5,0.23,1.827,2362356.67543442,0,0,0,2019
15-21810002,2019-08-27 00:00:00,8.5,-0.255,2.155,6528644.70494419,0,0,0,2019
13-21810002,2019-08-13 00:00:00,8.66,0.183,2.114,8587546.25298445,0,0,0,2019
6-21940001,2019-06-25 00:00:00,7.81,-0.021,0.154,2345873.33310294,0,0,0,2019
7-21940001,2019-07-01 00:00:00,8.21,-0.06,0.153,1836927.26151463,0,0,0,2019
8-21940001,2019-07-09 00:00:00,7.71,0.063,0.485,593161.146930016,0,0,0,2019
9-21940001,2019-07-16 00:00:00,8.08,-0.062,0.308,2843627.64670643,0,0,0,2019
10-21940001,2019-07-23 00:00:00,8.05,0.082,0.551,5281981.57615197,0,0,0,2019
11-21940001,2019-07-30 00:00:00,7.9,0.186,0.94,1806123.84222854,0,0,0,2019
12-21940001,2019-08-06 00:00:00,8.04,0.08,0.42,1100921.79134157,0,0,0,2019
14-21940001,2019-08-20 00:00:00,8.3,-0.015,0.795,28453.6038097903,0,0,0,2019
15-21940001,2019-08-27 00:00:00,8.3,-0.483,0.616,1386847.77280721,0,0,0,2019
13-21940001,2019-08-13 00:00:00,7.97,0.01,0.738,96195.9465721057,0,0,0,2019
6-21170001,2019-06-25 00:00:00,8.5,0.15,0.305,2408578.40106582,129849.021951223,0,0,2019
7-21170001,2019-07-01 00:00:00,8.7,-0.031,0.31,4645818.16183294,122115.776793616,0,0,2019
8-21170001,2019-07-09 00:00:00,8.88,0.037,0.814,1118395.35206041,62256.5223061802,0,0,2019
9-21170001,2019-07-16 00:00:00,8.14,0.007,0.707,11877767.5537972,129383.8494214,0,0,2019
10-21170001,2019-07-23 00:00:00,8.3,0.208,1.744,19539120.4868909,255652.031701569,0,0,2019
11-21170001,2019-07-30 00:00:00,8.45,0.028,1.656,2824769.72835392,182286.550184298,0,23810.3531816635,2019
12-21170001,2019-08-06 00:00:00,8.38,0.077,1.62,5490905.85328029,89336.519009086,0,18927.5273161122,2019
14-21170001,2019-08-20 00:00:00,8.37,0.154,1.622,1196959.22924456,0,0,9816.52033587688,2019
15-21170001,2019-08-27 00:00:00,8.37,-0.404,1.722,4854188.18757688,325940.249368865,0,114933.270208886,2019
13-21170001,2019-08-13 00:00:00,8.3,0.034,2.404,1855921.8799225,0,0,0,2019
9-21300005,2019-07-17 00:00:00,8.5,0.191,2.282,12313395.3161193,117012.217433855,0,0,2019
13-21300005,2019-08-14 00:00:00,8.18,0.134,1.213,438928.11277913,242737.413443585,0,0,2019
6-21300005,2019-06-26 00:00:00,8.48,-0.006,0.193,1566723.54849945,343971.477874677,0,0,2019
7-21300005,2019-07-02 00:00:00,8.58,0.067,0.383,251999.193739159,0,0,0,2019
8-21300005,2019-07-10 00:00:00,8.41,0.005,0.48,1943529.91905625,73036.7679086628,0,0,2019
10-21300005,2019-07-24 00:00:00,8.35,0.284,1.467,25103297.685238,1726814.19465923,0,0,2019
