Label,Collected Date,pH,TKP (mg P/L),TKN (mg N/L),16S,mcyA.M,mcyA.A,mcyA.P,year
8-21130001,2018-07-10 09:00:00,8.5,1.206,0.642,1140000,13700,0,0,2018
10-21130001,2018-07-24 09:35:00,8.4,-0.003,0.233,3e+06,16500,0,0,2018
8-21880001,2018-07-10 09:50:00,8.4,1.245,0.475,3070000,125000,0,0,2018
7-21150001,2018-07-02 13:00:00,8.4,3.778,0.477,2620000,15300,0,49000,2018
8-21500001,2018-07-11 07:00:00,8.22,1.202,0.474,2120000,1180,0,0,2018
13-21300005,2018-08-15 07:50:00,8.5,1.101,0.279,6410000,175000,0,0,2018
2-21170002,2018-05-30 12:30:00,8.7,1.363,0.5,1290000,57800,0,0,2018
10-21860001,2018-07-24 07:30:00,9.3,0.027,0.377,7630000,98200,0,0,2018
11-21300005,2018-08-01 08:50:00,8.3,0.112,0.195,6220000,59400,0,0,2018
10-21130002,2018-07-24 08:40:00,8.4,0.019,0.205,2080000,12300,0,0,2018
10-21300005,2018-07-25 07:00:00,8.4,0.208,0.169,3060000,31900,0,0,2018
8-21270001,2018-07-11 10:52:00,8.28,1.177,0.438,2610000,0,0,0,2018
3-21520001,2018-06-05 12:54:00,8.76,1.334,0.317,1350000,30100,0,0,2018
5-21130002,2018-06-19 08:32:00,7.81,0.992,0.672,2180000,14900,0,0,2018
3-21860001,2018-06-05 07:00:00,8.34,1.347,0.378,977000,7670,0,0,2018
14-21860001,2018-08-21 07:30:00,8.9,1.109,0.172,53700000,195000,0,16700,2018
12-21620001,2018-08-08 13:00:00,9.6,0.687,-0.135,11700000,66900,0,0,2018
9-21130002,2018-07-17 09:40:00,8.6,1.80345388788427,0.165,2670000,23200,0,0,2018
4-21170001,2018-06-13 13:10:00,8.3,1.569,0.448,2190000,33400,0,0,2018
15-21780001,2018-08-28 07:50:00,8.77,1.055,0.135,11300000,71300,0,0,2018
13-21860001,2018-08-14 07:00:00,9.1,1.066,0.309,29400000,145000,0,28700,2018
6-21130001,2018-06-26 10:02:00,8.35,1.257,0.468,3260000,18600,0,0,2018
3-21170002,2018-06-06 14:30:00,8,1.817,0.155,3810000,129000,0,0,2018
8-21130002,2018-07-10 08:15:00,8.4,1.035,0.602,1870000,8580,0,0,2018
